['N[C@H](CC1=CC=CC=C1)C(O)=O', 'https://www.chemspider.com/Chemical-Structure.64639.html?rid=e6064ae3-0897-4a18-907b-0c801bb1f81e\\n', '+']
['N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O', 'https://www.chemspider.com/Chemical-Structure.6066.html?rid=3254c046-1e18-4257-88e8-1a7010ad9576\\n', '-']
['O=C1CCC[C@@H](O1)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.8640242.html?rid=828ba752-e70a-4527-aa23-757d79de7dc2\\n', '+']
['O=C1C[C@H](CCO1)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.9346372.html?rid=733d9f26-18f2-4629-b248-9e744245df93\\n', '+']
['CC[C@@]1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.4953901.html?rid=993ec75e-dfe7-451a-b331-bb73b4cf8846\\n', '-']
['CO[C@@](C(O)=O)(C1=CC=CC=C1)C(F)(F)F', 'https://www.chemspider.com/Chemical-Structure.2006095.html?rid=870736e1-59ae-425c-a1fd-ca3aed9dc35c\\n', '+']
['CC1=CC=C(C=C1)[S@](C)=O', 'https://www.chemspider.com/Chemical-Structure.9345367.html?rid=a0594b2f-f5fe-4265-b232-c09ef2873f49\\n', '-']
['COC1=CC(=CC=C1O)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1', 'https://www.chemspider.com/Chemical-Structure.66296.html?rid=9b1112a4-2d27-4c67-ba1d-78f0debf94b8\\n', '-']
['OC1=CC(O)=C2C(=O)C[C@@H](OC2=C1)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.580917.html?rid=6a7519a2-9117-43ce-a226-247173b53690\\n', '-']
['CC(C)NC[C@@H](O)COC1=CC=C(CCOCC2CC2)C=C1', 'https://www.chemspider.com/Chemical-Structure.4805135.html?rid=42d31fd5-23dc-4dc2-87fa-48b6acbf71b8\\n', '-']
['COCCC1=CC=C(OC[C@H](O)CNC(C)C)C=C1', 'https://www.chemspider.com/Chemical-Structure.138782.html?rid=f9b98cd0-9e9d-404d-9ad7-1a8ea69b103c\\n', '+']
['C[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.588378.html?rid=cd8851f4-8d68-4730-b5db-37d55c5baa79\\n', '+']
['C[C@H]1CCC(=O)O1', 'https://www.chemspider.com/Chemical-Structure.5414372.html?rid=145b457c-6fec-4bec-89b3-e63f183c925b\\n', '-']
['CC[C@H]1CCC(=O)O1', 'https://www.chemspider.com/Chemical-Structure.4483394.html?rid=aa7df800-11d1-4c36-a9be-dd7861610c55\\n', '-']
['CCCCCC[C@@H]1CCC(=O)O1', 'https://www.chemspider.com/Chemical-Structure.159884.html?rid=41de545f-4b8d-4055-8f5d-8445f34f022e\\n', '+']
['CCOC(=O)[C@H]1CCC(=O)O1', 'https://www.chemspider.com/Chemical-Structure.745594.html?rid=ecdf254b-bcd4-45eb-baeb-a90acc62d29c\\n', '-']
['OC[C@H]1CCC(=O)O1', 'https://www.chemspider.com/Chemical-Structure.5323299.html?rid=096830b2-c76e-4a1c-bffe-0f6b5c3da420\\n', '-']
['O[C@H]1CCOC1=O', 'https://www.chemspider.com/Chemical-Structure.317685.html?rid=e95924c2-a762-44fc-a2c8-b97fd4e7c970\\n', '-']
['CC1(C)COC(=O)[C@@H]1O', 'https://www.chemspider.com/Chemical-Structure.388488.html?rid=6c621639-7752-4b52-a4cb-6dbc61684e24\\n', '-']
['O=C1O[C@@H](COCC2=CC=CC=C2)C=C1', 'https://www.chemspider.com/Chemical-Structure.9151778.html?rid=13130317-3fcc-4106-8b28-6c725bef60b3\\n', '+']
['CCCCC[C@H]1CCCC(=O)O1', 'https://www.chemspider.com/Chemical-Structure.5028523.html?rid=4f8434fe-72c4-4890-8e0e-032acd8e4f91\\n', '-']
['CCCCCCC[C@@H]1CCCC(=O)O1', 'https://www.chemspider.com/Chemical-Structure.1363592.html?rid=dff0d8cb-ef24-4a08-ac63-83037e5ba244\\n', '+']
['CC1=CC2=C(C=C1)N1CN(C2)C2=CC=C(C)C=C2C1', 'https://www.chemspider.com/Chemical-Structure.170601.html?rid=43c5cf3c-1250-45a3-a0a9-60939b870d78\\n', '-']
['O[C@@H](C1=C2C=CC=CC2=CC2=C1C=CC=C2)C(F)(F)F', 'https://www.chemspider.com/Chemical-Structure.2006270.html?rid=34e9c951-6b11-449e-97b6-59057324a7d2\\n', '+']
['NC(=O)[C@@H](O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.715538.html?rid=9060c809-12a8-4e75-93d9-91eed21c6e53\\n', '+']
['CC[C@@]1(CCC(=O)NC1=O)C1=CC=C(N)C=C1', 'https://www.chemspider.com/Chemical-Structure.78002.html?rid=aba8532c-4682-419e-9a6d-6e38dd08d36a\\n', '+']
['C[C@@H](N)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.558356.html?rid=2567b61b-c678-4254-a7d8-bc818435fdfd\\n', '+']
['CNC[C@@H](O)C1=CC=C(O)C(O)=C1', 'https://www.chemspider.com/Chemical-Structure.216840.html?rid=b449984c-18df-4cf8-9e9d-3edb4e76dd39\\n', '+']
['O[C@H](C(O)=O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.388690.html?rid=743e4e7a-f1f4-48f3-b9a3-54fcf8e5b582\\n', '+']
['COC(=O)[C@@H](O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.558706.html?rid=4fa08b89-ac51-4bff-ba3b-62e1b854cf15\\n', '+']
['N[C@H](CC1=CC=C(O)C=C1)C(O)=O', 'https://www.chemspider.com/Chemical-Structure.64252.html?rid=b309e73a-0001-4d08-a893-a1a5a69304c8\\n', '-']
['CC(C)NC[C@H](O)COC1=CC=CC2=C1C=CC=C2', 'https://www.chemspider.com/Chemical-Structure.82653.html?rid=9b1975ad-6b2d-4d1b-98b4-a8d9a8304f8d\\n', '-']
['CC(C)NC[C@H](O)C1=CC=C(NS(C)(=O)=O)C=C1', 'https://www.chemspider.com/Chemical-Structure.4809791.html?rid=8319588e-d086-4cb8-a8bc-e9f8ff8f0ace\\n', '-']
['OC1=CC=C(C=C1)[C@H]1CC(=O)C2=C(O)C=C(O)C=C2O1', 'https://www.chemspider.com/Chemical-Structure.580872.html?rid=9176844c-0051-49ae-a63d-3cbc343d2893\\n', '-']
['C[C@@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O', 'https://www.chemspider.com/Chemical-Structure.161341.html?rid=fd36f9e9-49ab-4a24-944c-603b6efffaa0\\n', '+']
['C[C@@H](OC1=C(Cl)C=C(Cl)C=C1)C(O)=O', 'https://www.chemspider.com/Chemical-Structure.106668.html?rid=0a25cf2e-b13c-4fd9-9d4e-80f32561f9cc\\n', '+']
['CC(C)(C)[Si](C)(C)O[C@@H]1CC(=O)C=C1', 'https://www.chemspider.com/Chemical-Structure.2016280.html?rid=13d2e483-465d-455f-b331-12f4eefb7c4f\\n', '+']
